zone_id,abbreviation,gmt_offset,dst
237,KWAT,-43200,0
206,PHOT,-43200,0
277,NUT,-41400,0
414,WSST,-41400,0
414,LMT,-41216,0
31,LMT,-40968,0
277,NUT,-40800,0
31,BST,-39600,0
31,NST,-39600,0
277,NUT,-39600,0
206,PHOT,-39600,0
31,SST,-39600,0
357,TKT,-39600,0
207,LINT,-38400,0
119,CKT,-37800,0
371,HST,-37800,0
395,AHST,-36000,0
400,BDT,-36000,1
395,CAT,-36000,0
119,CKT,-36000,0
371,HST,-36000,0
207,LINT,-36000,0
400,NPT,-36000,1
400,NWT,-36000,1
414,SDT,-36000,1
283,TAHT,-36000,0
283,LMT,-35896,0
119,CKHST,-34200,1
371,HDT,-34200,1
284,MART,-34200,0
284,LMT,-33480,0
395,AHDT,-32400,1
395,AKST,-32400,0
395,CAPT,-32400,1
395,CAWT,-32400,1
285,GAMT,-32400,0
401,HDT,-32400,1
110,YST,-32400,0
285,LMT,-32388,0
292,PNT,-30600,0
395,AKDT,-28800,1
105,PST,-28800,0
110,YDT,-28800,1
110,YPT,-28800,1
110,YWT,-28800,1
262,LMT,-28084,0
102,LMT,-27232,0
261,LMT,-26632,0
121,EMT,-26248,0
101,LMT,-25880,0
258,LMT,-25540,0
259,LMT,-25460,0
263,LMT,-25260,0
121,EAST,-25200,0
100,MST,-25200,0
107,PDT,-25200,1
107,PPT,-25200,1
107,PWT,-25200,1
110,YDDT,-25200,1
100,LMT,-25116,0
260,LMT,-25060,0
256,LMT,-24076,0
257,LMT,-24000,0
253,LMT,-23796,0
176,LMT,-21724,0
100,CST,-21600,0
121,EASST,-21600,1
121,EAST,-21600,0
141,GALT,-21600,0
100,MDT,-21600,1
100,MPT,-21600,1
100,MWT,-21600,1
105,PDDT,-21600,1
255,LMT,-21508,0
141,LMT,-21504,0
347,LMT,-21408,0
83,LMT,-21168,0
181,LMT,-20932,0
254,LMT,-20824,0
272,MMT,-20712,0
126,SJMT,-20173,0
375,LMT,-19931,0
83,CHDT,-19800,1
127,HMT,-19776,0
213,CMT,-19176,0
140,QMT,-18840,0
79,LMT,-18570,0
282,LMT,-18516,0
199,KMT,-18431,0
77,ACT,-18000,0
103,CDT,-18000,1
120,CLT,-18000,0
125,COT,-18000,0
376,CPT,-18000,1
127,CST,-18000,0
253,CWT,-18000,1
121,EASST,-18000,1
140,ECT,-18000,0
103,EST,-18000,0
103,MDDT,-18000,1
282,PET,-18000,0
125,BMT,-17776,0
183,PPMT,-17340,0
120,SMT,-16966,0
138,SDMT,-16800,0
77,LMT,-16768,0
129,LMT,-16547,0
169,LMT,-16508,0
61,CMT,-16356,0
78,LMT,-16272,0
129,ANT,-16200,0
138,EHDT,-16200,1
408,VET,-16200,0
408,CMT,-16060,0
